Name,Team,Age,W,L,SV,G,GS,IP,WAR,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP
Adam Cimber,LAA,33,3,0,0,28,0,24.1,0,7.0,5.2,0.4,0.284,54%,45%,0.05,85.3,7.03,5.52,4.60,5.38
Ryan Borucki,PIT,30,0,0,0,14,0,11,0,10.6,3.3,1.6,0.387,56%,50%,0.25,,7.36,7.08,4.53,3.27
Joe Kelly,LAD,36,1,1,0,35,0,32,0,9.8,4.5,1.1,0.325,71%,47%,0.15,98.2,4.78,5.07,4.57,4.22
Ryan Yarbrough,- - -,32,5,2,1,44,0,98.2,-0.1,5.9,2.9,1.0,0.212,79%,41%,0.10,86.8,3.19,4.16,4.64,4.84
A.J. Minter,ATL,30,5,4,1,39,0,34.1,-0.1,9.2,2.9,1.6,0.222,94%,46%,0.17,94.8,2.62,3.29,4.45,3.76
Alex Wood,OAK,33,1,3,0,9,9,39.1,-0.1,7.6,4.3,1.4,0.366,72%,37%,0.13,,5.26,6.64,5.30,5.13
Wade Miley,MIL,37,0,1,0,2,2,7,-0.1,2.6,5.1,1.3,0.227,63%,52%,0.17,90.4,6.43,8.57,6.60,6.03
Trey Wingenter,- - -,30,0,0,0,7,0,8.1,-0.1,6.5,4.3,2.2,0.367,56%,55%,0.25,97.2,9.72,5.85,6.29,4.62
Luke Jackson,- - -,32,4,3,0,52,0,53,-0.1,10.0,4.4,1.2,0.319,67%,51%,0.16,95.0,5.09,4.05,4.24,3.81
Mike Clevinger,CHW,33,0,3,0,4,4,16,-0.1,8.4,5.1,2.3,0.360,71%,34%,0.16,93.6,6.75,7.48,6.23,5.34
Adrian Houser,NYM,31,1,5,1,23,7,69.1,-0.1,5.8,4.2,1.0,0.300,63%,48%,0.10,93.8,5.84,5.2,4.93,5.11
Tim Mayza,- - -,32,0,2,0,50,0,42.2,-0.1,5.9,3.2,1.1,0.336,57%,45%,0.10,,6.33,5.41,4.50,4.68
Walker Buehler,LAD,29,1,6,0,16,16,75.1,-0.2,7.6,3.3,1.9,0.316,70%,45%,0.19,95.0,5.38,4.68,5.54,4.49
Miguel Castro,ARI,29,0,0,0,11,0,13.2,-0.2,5.3,2.0,2.0,0.347,76%,47%,0.19,,5.93,6.08,5.73,4.64
Tyler Matzek,ATL,33,0,0,0,11,0,10,-0.2,9.0,2.7,2.7,0.406,54%,31%,0.23,93.9,9.90,7.77,5.97,4.03
JT Chargois,- - -,33,3,1,0,36,0,36.1,-0.2,7.4,3.2,1.5,0.189,98%,37%,0.14,94.8,2.23,4.55,4.90,4.58
Tanner Rainey,WSN,31,0,0,0,50,0,51,-0.2,7.8,5.1,1.4,0.267,76%,28%,0.09,94.2,4.76,5.59,5.42,5.90
Jesse Chavez,ATL,40,2,2,0,46,0,63.1,-0.2,7.8,2.7,1.4,0.279,80%,43%,0.16,,3.13,4.22,4.43,3.88
Shelby Miller,DET,33,6,8,2,51,0,55.2,-0.2,7.9,2.1,1.5,0.215,60%,40%,0.12,93.6,4.53,3.72,4.48,4.36
Bryse Wilson,MIL,26,5,4,0,34,9,104.2,-0.2,7.1,2.7,1.7,0.269,81%,38%,0.14,93.6,4.04,5.27,5.09,4.61
Sean Newcomb,OAK,31,1,0,0,7,0,10,-0.2,6.3,7.2,1.8,0.259,72%,50%,0.20,93.9,6.30,5.59,7.07,5.98
Steven Okert,MIN,32,3,2,1,44,1,35.1,-0.2,8.4,4.1,1.5,0.304,71%,33%,0.13,93.0,5.09,4.19,5.12,4.88
