Name,Team,Season,Age,W,L,IP,WAR,ERA,xERA,FIP,xFIP,AVG,WHIP,BABIP,K%,BB%,LOB%,LD%,GB%,FB%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,Barrel%,K/9,BB/9,K/BB,HR/9,GB/FB,HR/FB,EV,LA,,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA (sc),wFT (sc),wFC (sc),wFS (sc),wFO (sc),wSI (sc),wSL (sc),wCU (sc),wKC (sc),wEP (sc),wCH (sc),wSC (sc),wKN (sc)
Kyle Nicolas,PIT,2024,25,2,2,54.2,0.1,3.95,4.19,4.03,4.49,0.245,1.5,0.315,23%,13%,70%,21%,45%,34%,35%,35%,29%,10%,58%,31%,8%,9.1,5.1,1.8,0.7,1.4,0.1,90,10.8,,55%,,,,,0%,0.22350472,22%,,,,,,,97.4,,,,,94.8,90.9,85.6,,,,,,-5.77,,,,,6.65,2.10,2.39,,,,,,10.09,,,,,9.48,2.20,-5.30,,,,,,6.23,,,,,-0.20,-4.82,-0.35,,,,,
Jesse Chavez,ATL,2024,40,2,2,63.1,-0.2,3.13,4.22,4.43,3.88,0.246,1.25,0.279,21%,7%,80%,23%,43%,34%,33%,37%,30%,19%,52%,29%,6%,7.8,2.7,2.9,1.4,1.3,0.2,87.3,11.1,,,,51%,,,27%,0.01628352,7%,,,13%,,,,,,88.8,,,90.7,81.4,75.7,,,85.2,,,,,-1.60,,,-9.62,2.07,8.32,,,-9.54,,,,,7.09,,,4.34,-2.93,-4.78,,,1.36,,,,,3.93,,,-2.04,-2.27,0.25,,,1.00,,
Craig Kimbrel,BAL,2024,36,7,5,52.1,0.1,5.33,4.22,4.18,4,0.204,1.36,0.284,31%,13%,62%,24%,32%,44%,34%,34%,32%,17%,50%,33%,11%,12.6,5.3,2.4,1.2,0.7,0.1,91.1,17.3,,66%,,,,,,0.04885655,,29%,,1%,,,,93.9,,,,,,85.6,,84.3,,88.3,,,-6.40,,,,,,7.51,,5.78,,-9.59,,,8.70,,,,,,-1.04,,-5.10,,0.76,,,-0.91,,,,,,0.74,,-0.66,,-0.15,,
Logan Webb,SFG,2024,27,13,10,204.2,4.4,3.47,4.22,2.95,3.28,0.256,1.23,0.315,20%,6%,72%,20%,57%,23%,36%,41%,23%,17%,54%,29%,7%,7.6,2.2,3.4,0.5,2.5,0.1,89.8,2.5,,5%,,3%,,,40%,0.21243361,,,,31%,,,,92.6,,91.0,,,92.6,83.8,,,,87.4,,,-4.98,,-1.09,,,-9.16,8.78,,,,-6.07,,,5.47,,4.09,,,0.58,-0.54,,,,-2.61,,,0.34,,3.61,,,16.90,1.09,,,,-1.31,,
Tylor Megill,NYM,2024,28,4,5,78,1.4,4.04,4.22,3.55,3.79,0.233,1.31,0.307,27%,9%,71%,21%,40%,39%,37%,37%,26%,19%,48%,33%,9%,10.5,3.7,2.8,0.9,1,0.1,88.9,12.3,,47%,,14%,7%,,10%,0.13186813,8%,,,1%,,,,95.7,,90.1,84.7,,94.6,85.1,78.0,,,87.2,,,-4.46,,1.20,-3.22,,-9.55,1.82,5.15,,,-7.35,,,9.51,,4.24,-1.25,,5.07,-0.67,-7.57,,,2.86,,,1.86,,-2.21,-1.25,,4.35,-1.53,-0.39,,,-0.88,,
Ben Brown,CHC,2024,24,1,3,55.1,1.3,3.58,4.22,3.11,3.63,0.203,1.08,0.271,29%,9%,72%,16%,39%,45%,35%,37%,28%,18%,46%,36%,11%,10.4,3.1,3.4,0.8,0.9,0.1,91.8,16.2,,63%,,,,,,,,36%,,2%,,,,96.4,,,,,,,,86.5,,90.6,,,-5.49,,,,,,,,0.57,,-7.95,,,9.77,,,,,,,,-1.60,,6.17,,,4.20,,,,,,,,4.30,,-0.51,,
Patrick Sandoval,LAA,2024,27,2,8,79.2,1.2,5.08,4.25,3.87,4.04,0.27,1.51,0.341,23%,10%,66%,21%,45%,34%,41%,39%,19%,13%,56%,31%,5%,9.2,4,2.3,0.9,1.3,0.1,87.9,11,,16%,,,,,17%,0.29293629,9%,,,28%,,,,93.7,,,,,93.7,86.8,76.3,,,82.9,,,4.23,,,,,7.71,-4.83,-6.02,,,8.31,,,9.50,,,,,8.08,2.08,-7.69,,,5.93,,,-5.03,,,,,-4.54,1.14,2.64,,,3.00,,
Phil Maton,NYM,2024,31,3,3,64,0.1,3.66,4.28,4.26,4.28,0.203,1.11,0.242,23%,9%,75%,18%,47%,36%,48%,33%,19%,19%,49%,31%,7%,8.4,3.4,2.5,1,1.3,0.1,86.5,12.9,,,,35%,,,9%,0.26437848,29%,,,,,,,,,88.7,,,87.5,81.6,74.7,,,,,,,,1.66,,,-7.59,8.54,10.01,,,,,,,,6.39,,,4.89,2.65,-7.32,,,,,,,,5.50,,,2.29,-1.63,-0.20,,,,,
David Bednar,PIT,2024,29,3,8,57.2,-0.2,5.77,4.28,4.8,4.87,0.234,1.42,0.274,22%,11%,62%,16%,37%,47%,44%,32%,24%,17%,52%,31%,9%,9.1,4.4,2.1,1.4,0.8,0.1,90.2,17.9,,56%,,,24%,,,,20%,,,,,,,97.2,,,92.1,,,,77.2,,,,,,-5.01,,,-4.78,,,,4.58,,,,,,10.67,,,3.12,,,,-5.77,,,,,,-2.20,,,-0.02,,,,-0.22,,,,,
Gregory Soto,BAL,2024,29,3,5,53,0.5,4.42,4.28,3.68,3.84,0.268,1.57,0.371,27%,11%,71%,21%,51%,28%,33%,36%,31%,17%,52%,31%,8%,11,4.6,2.4,0.7,1.8,0.1,88.7,5.8,,12%,,1%,,,46%,0.41605069,,,,,,,,98.0,,91.8,,,97.4,85.8,,,,,,,7.10,,3.61,,,10.37,-1.65,,,,,,,7.45,,4.63,,,5.03,1.41,,,,,,,-3.25,,0.03,,,2.39,-4.59,,,,,,
